year,home_team,home_points,away_team,away_points
2015,Ole Miss,73,Fresno State,21
2015,TCU,70,Stephen F. Austin,7
2015,Rutgers,34,Washington State,37
2015,Colorado State,20,Minnesota,23
2015,North Dakota State,41,Weber State,14
2015,Virginia,27,Notre Dame,34
2015,Ohio State,38,Hawai'i,0
2015,Northern Illinois,57,Murray State,26
2015,Southern Miss,52,Austin Peay,6
2015,UAlbany,35,Rhode Island,7
2015,Georgia Tech,65,Tulane,10
2015,Virginia Tech,42,Furman,3
2015,Wyoming,29,Eastern Michigan,48
2015,James Madison,55,Lehigh,17
2015,Kennesaw State,58,Edward Waters,7
2015,Arkansas,12,Toledo,16
2015,Alabama,37,Middle Tennessee,10
2015,Northwestern,41,Eastern Illinois,0
2015,Iowa State,17,Iowa,31
2015,California,35,San Diego State,7
2015,NC State,35,Eastern Kentucky,0
2015,North Carolina,53,North Carolina A&T,14
2015,Georgia Southern,43,Western Michigan,17
2015,Tennessee,24,Oklahoma,31
2015,Duke,55,North Carolina Central,0
2015,Bucknell,7,Duquesne,26
2015,Georgetown,34,Marist,7
2015,Akron,7,Pittsburgh,24
2015,Fordham,7,Villanova,14
2015,Towson,35,St. Francis (PA),20
2015,Stony Brook,38,Central Connecticut,9
2015,Kent State,45,Delaware State,13
2015,The Citadel,28,Western Carolina,10
2015,Mercer,57,Stetson,14
2015,North Dakota,21,Drake,18
2015,South Carolina State,14,Coastal Carolina,41
2015,Delaware,19,Lafayette,9
2015,Colgate,8,New Hampshire,26
2015,Gardner-Webb,13,Elon,21
2015,Campbell,35,Chowan,3
2015,Idaho State,14,Portland State,34
2015,Butler,41,Franklin,14
2015,Grambling,53,Bethune-Cookman,56
2015,McNeese,43,Incarnate Word,6
2015,Alabama State,14,Alcorn State,31
2015,Northern Arizona,41,New Mexico Highlands,5
2015,Arkansas-Pine Bluff,29,Morehouse College,27
2015,Youngstown State,21,Robert Morris,14
2015,UL Monroe,47,Nicholls,0
2015,Troy,44,Charleston Southern,16
2015,Texas A&M,56,Ball State,23
2015,Arkansas State,20,Missouri,27
2015,Texas State,63,Prairie View A&M,24
2015,SMU,31,North Texas,13
2015,Davidson,21,Catawba,35
2015,Ohio,21,Marshall,10
2015,Nevada,20,Arizona,44
2015,Southeast Missouri State,27,Southern Illinois,24
2015,Kansas,23,Memphis,55
2015,South Dakota State,55,Southern Utah,10
2015,Wofford,34,Tennessee Tech,14
2015,Louisiana,44,Northwestern State,17
2015,Jackson State,25,Tennessee State,35
2015,Florida,31,East Carolina,24
2015,Old Dominion,24,Norfolk State,10
2015,South Carolina,22,Kentucky,26
2015,Baylor,66,Lamar,31
2015,Oklahoma State,32,Central Arkansas,8
2015,Illinois State,67,Morgan State,14
2015,Houston Christian,10,Northern Colorado,34
2015,Michigan State,31,Oregon,28
2015,SE Louisiana,28,Florida Tech,17
2015,Texas,42,Rice,28
2015,Indiana,36,Florida International,22
2015,Nebraska,48,South Alabama,9
2015,Cincinnati,26,Temple,34
2015,New Mexico,21,Tulsa,40
2015,New Mexico State,32,Georgia State,34
2015,USC,59,Idaho,9
2015,San Diego,45,Western New Mexico,21
2015,UC Davis,17,South Dakota,27
2015,Mississippi State,19,LSU,21
2015,BYU,35,Boise State,24
2015,Air Force,37,San José State,16
